"Title","Link","Words"
"Nombre del servicio: VIAJES MÉDICOS ESPECIALES","https://www.211ca.org/search/?taxonomyCode=BT-4500.6500-280&location=sonoma+county+ca#googtrans(es)","['clic', 'aqui', 'imprimirlo', 'certificado', 'nacimiento', 'tarjeta', 'seguridad', 'social', 'identificación', 'estado', 'california', 'licencia', 'conducir', 'aquí', 'hogares', 'libres', 'alcohol', 'drogas', 'refugios', 'emergencia', 'personas', 'hogar', 'familias', 'hogar', 'vivienda', '(vivienda', 'temporal)', 'centros', 'personas', 'hogar', 'cal-fresh', '(estampillas', 'comida)', 'comestibles', 'programas', 'comida', 'caliente', 'información', 'ruta', 'autobús', 'servicios', 'autobuses', 'locales', 'programas', 'generales', 'comunitario', 'transporte', 'tren', 'medi-cal', 'covered', 'california', 'medi-cal', 'informacion', 'asistencia', 'asequible', 'seguro', 'medico', 'seguro', 'médico', 'estado', 'clínicas', 'médicas', 'líneas', 'información', 'médica', 'examen', 'tuberculosis', 'centros', 'integrales', 'asistencia', 'laboral', 'preparación', 'empleo', 'ayuda', 'encontrar', 'trabajo', 'presentar', 'queja.', 'calworks', 'general', 'relief', 'ssi', 'ssdi', 'calworks', 'alivio', 'general', 'ssi', 'ssdi', 'ayuda', 'legal', 'general', 'cumplimiento', 'manutención', 'cómo', 'cambiar', 'orden', 'manutención', 'hijos', 'grupos', 'apoyo', 'trastorno', 'consumo', 'alcohol', 'groupos', 'apoyo', 'trastorno', 'consumo', 'drogas', 'vivienda', 'libre', 'alcohol', 'drogas', 'servicios', 'generales', 'consejería', 'consejería', 'grupo', 'control', 'ira', 'consejería', 'trastornos', 'psiquiátricos', 'líneas', 'directas', 'salud', 'mental', 'líneas', 'directas', 'prevención', 'suicidio', 'equipos', 'respuesta', 'móvil', 'psiquiátrica', 'intervencion', 'crisis', 'persona', 'líneas', 'directas', 'abuso', 'infantil', 'líneas', 'apollo', 'subvención', 'promesa', 'california', 'fafsa', 'programas', 'diploma', 'escuela', 'secundaria', 'adultos', 'alfabetización', 'adultos', 'bibliotecas', 'públicas', 'clases', 'informática']"
"Medi-Cal & County Medical Services Program ","https://sonomacounty.ca.gov/Human-Services/Economic-Assistance/Health-Care-Benefits/Medi-Cal-and-County-Medical-Services-Program/","['Medi-Cal', 'benefit', 'free or low-cost medical', 'dental services', 'Medicaid', 'temporary health care coverage']"
"Covered California | Health Insurance Marketplace","https://www.coveredca.com/","['open enrollment', 'how to get covered', 'coverage']"
"Employment Discrimination","https://www.dfeh.ca.gov/Employment/","['Department of Fair Employment and Housing', 'DFEH', 'job applicant', 'employee', 'protected characteristic', 'employment discrimination']"
"County of Sonoma | SonomaWORKS ","http://sonomacounty.ca.gov/Human-Services/Employment-and-Training/SonomaWORKS/","['support family', 'SonomaWORKS', 'temporary help', 'families with children', 'little or no money', 'prepare for a job', 'keep a job'']"
"County of Sonoma | General Assistance Benefits ","https://sonomacounty.ca.gov/Human-Services/Economic-Assistance/General-Assistance/","['Economic Assistance', 'how to apply', 'who may be eligible', 'help with rent', 'utilities', 'transportation', 'toiletries', 'food']"
"Supplemental Security Income (SSI) Benefits | SSA","https://www.ssa.gov/benefits/ssi/","['Supplemental Security Income', 'SSI', 'disabled adults', 'disabled children', 'limited income', 'people 65 and older', 'how to apply', 'local office']"
"Disability Benefits | SSA","https://www.ssa.gov/benefits/disability/","['Social Security', 'disability programs', 'assistance', 'people with disabilities', 'disability benefits, 'Social Security Disability Insurance', 'SSDI']"
"Seguridad de Ingreso Suplementario (SSI) | Administración del Seguro Social","https://www.ssa.gov/espanol/beneficios/ssi/","['clic', 'aqui', 'imprimirlo', 'certificado', 'nacimiento', 'tarjeta', 'seguridad', 'social', 'identificación', 'estado', 'california', 'licencia', 'conducir', 'aquí', 'hogares', 'libres', 'alcohol', 'drogas', 'refugios', 'emergencia', 'personas', 'hogar', 'familias', 'hogar', 'vivienda', '(vivienda', 'temporal)', 'centros', 'personas', 'hogar', 'cal-fresh', '(estampillas', 'comida)', 'comestibles', 'programas', 'comida', 'caliente', 'información', 'ruta', 'autobús', 'servicios', 'autobuses', 'locales', 'programas', 'generales', 'comunitario', 'transporte', 'tren', 'medi-cal', 'covered', 'california', 'medi-cal', 'informacion', 'asistencia', 'asequible', 'seguro', 'medico', 'seguro', 'médico', 'estado', 'clínicas', 'médicas', 'líneas', 'información', 'médica', 'examen', 'tuberculosis', 'centros', 'integrales', 'asistencia', 'laboral', 'preparación', 'empleo', 'ayuda', 'encontrar', 'trabajo', 'presentar', 'queja.', 'calworks', 'general', 'relief', 'ssi', 'ssdi', 'calworks', 'alivio', 'general', 'ssi', 'ssdi', 'ayuda', 'legal', 'general', 'cumplimiento', 'manutención', 'cómo', 'cambiar', 'orden', 'manutención', 'hijos', 'grupos', 'apoyo', 'trastorno', 'consumo', 'alcohol', 'groupos', 'apoyo', 'trastorno', 'consumo', 'drogas', 'vivienda', 'libre', 'alcohol', 'drogas', 'servicios', 'generales', 'consejería', 'consejería', 'grupo', 'control', 'ira', 'consejería', 'trastornos', 'psiquiátricos', 'líneas', 'directas', 'salud', 'mental', 'líneas', 'directas', 'prevención', 'suicidio', 'equipos', 'respuesta', 'móvil', 'psiquiátrica', 'intervencion', 'crisis', 'persona', 'líneas', 'directas', 'abuso', 'infantil', 'líneas', 'apollo', 'subvención', 'promesa', 'california', 'fafsa', 'programas', 'diploma', 'escuela', 'secundaria', 'adultos', 'alfabetización', 'adultos', 'bibliotecas', 'públicas', 'clases', 'informática']"
"Changing a Child Support Order in Your State","https://www.acf.hhs.gov/sites/default/files/programs/css/ca_cs_order.pdf","['IV-D', 'child support', 'contact', 'child support agency']"
"California College Promise Grant","https://home.cccapply.org/money/california-college-promise-grant","['California College Promise Grant', 'grant', 'Allan Hancock College', 'American River College', 'Antelope Valley College', 'Berkeley City College', 'Chabot College', 'Citrus College', 'Coastline College', 'College of Alameda', 'College of the Canyons', 'College of Marin', 'Contra Costa College', 'Cosumnes River College', 'Diablo Valley College', 'De Anza College', 'Evergreen Valley College', 'Folsom Lake College', 'Foothill College', 'Golden West College, 'Imperial Valley College', 'Irvine Valley College,' 'Lake Tahoe Community College', 'Laney College', 'Las Positas College', 'Lassen Community College', 'Los Medanos College', 'Merritt College', 'Moorpark College', 'Orange Coast College', 'Oxnard College', 'Sacramento City College', 'Saddleback College', 'San Joaquin Delta College', 'San Jose City College', 'Santa Ana College', 'Santa Barbara City College', 'Santiago Canyon College', 'Shasta College', 'Solano Community College', 'Southwestern College', 'Ventura College', 'Woodland Community College', 'Yuba College']"
"Federal student aid","https://studentaid.ed.gov/","['Department of Education', 'office of Federal Student Aid', 'financial aid', 'pay for college', 'career school', 'Financial Aid', 'student']"
"Nombre del servicio: CENTRO DE EDUCACIÓN DE ADULTOS DE PITTSBURG","https://www.211ca.org/search/?taxonomyCode=HH-0500.2500-050&location=sonoma+county+ca#googtrans(es)","['clic', 'aqui', 'imprimirlo', 'certificado', 'nacimiento', 'tarjeta', 'seguridad', 'social', 'identificación', 'estado', 'california', 'licencia', 'conducir', 'aquí', 'hogares', 'libres', 'alcohol', 'drogas', 'refugios', 'emergencia', 'personas', 'hogar', 'familias', 'hogar', 'vivienda', '(vivienda', 'temporal)', 'centros', 'personas', 'hogar', 'cal-fresh', '(estampillas', 'comida)', 'comestibles', 'programas', 'comida', 'caliente', 'información', 'ruta', 'autobús', 'servicios', 'autobuses', 'locales', 'programas', 'generales', 'comunitario', 'transporte', 'tren', 'medi-cal', 'covered', 'california', 'medi-cal', 'informacion', 'asistencia', 'asequible', 'seguro', 'medico', 'seguro', 'médico', 'estado', 'clínicas', 'médicas', 'líneas', 'información', 'médica', 'examen', 'tuberculosis', 'centros', 'integrales', 'asistencia', 'laboral', 'preparación', 'empleo', 'ayuda', 'encontrar', 'trabajo', 'presentar', 'queja.', 'calworks', 'general', 'relief', 'ssi', 'ssdi', 'calworks', 'alivio', 'general', 'ssi', 'ssdi', 'ayuda', 'legal', 'general', 'cumplimiento', 'manutención', 'cómo', 'cambiar', 'orden', 'manutención', 'hijos', 'grupos', 'apoyo', 'trastorno', 'consumo', 'alcohol', 'groupos', 'apoyo', 'trastorno', 'consumo', 'drogas', 'vivienda', 'libre', 'alcohol', 'drogas', 'servicios', 'generales', 'consejería', 'consejería', 'grupo', 'control', 'ira', 'consejería', 'trastornos', 'psiquiátricos', 'líneas', 'directas', 'salud', 'mental', 'líneas', 'directas', 'prevención', 'suicidio', 'equipos', 'respuesta', 'móvil', 'psiquiátrica', 'intervencion', 'crisis', 'persona', 'líneas', 'directas', 'abuso', 'infantil', 'líneas', 'apollo', 'subvención', 'promesa', 'california', 'fafsa', 'programas', 'diploma', 'escuela', 'secundaria', 'adultos', 'alfabetización', 'adultos', 'bibliotecas', 'públicas', 'clases', 'informática']"
"Nombre del servicio: SERVICIOS DE BIBLIOTECA","https://www.211ca.org/search/?taxonomyCode=HH-4500.0500&location=sonoma+county+ca#googtrans(es)","['clic', 'aqui', 'imprimirlo', 'certificado', 'nacimiento', 'tarjeta', 'seguridad', 'social', 'identificación', 'estado', 'california', 'licencia', 'conducir', 'aquí', 'hogares', 'libres', 'alcohol', 'drogas', 'refugios', 'emergencia', 'personas', 'hogar', 'familias', 'hogar', 'vivienda', '(vivienda', 'temporal)', 'centros', 'personas', 'hogar', 'cal-fresh', '(estampillas', 'comida)', 'comestibles', 'programas', 'comida', 'caliente', 'información', 'ruta', 'autobús', 'servicios', 'autobuses', 'locales', 'programas', 'generales', 'comunitario', 'transporte', 'tren', 'medi-cal', 'covered', 'california', 'medi-cal', 'informacion', 'asistencia', 'asequible', 'seguro', 'medico', 'seguro', 'médico', 'estado', 'clínicas', 'médicas', 'líneas', 'información', 'médica', 'examen', 'tuberculosis', 'centros', 'integrales', 'asistencia', 'laboral', 'preparación', 'empleo', 'ayuda', 'encontrar', 'trabajo', 'presentar', 'queja.', 'calworks', 'general', 'relief', 'ssi', 'ssdi', 'calworks', 'alivio', 'general', 'ssi', 'ssdi', 'ayuda', 'legal', 'general', 'cumplimiento', 'manutención', 'cómo', 'cambiar', 'orden', 'manutención', 'hijos', 'grupos', 'apoyo', 'trastorno', 'consumo', 'alcohol', 'groupos', 'apoyo', 'trastorno', 'consumo', 'drogas', 'vivienda', 'libre', 'alcohol', 'drogas', 'servicios', 'generales', 'consejería', 'consejería', 'grupo', 'control', 'ira', 'consejería', 'trastornos', 'psiquiátricos', 'líneas', 'directas', 'salud', 'mental', 'líneas', 'directas', 'prevención', 'suicidio', 'equipos', 'respuesta', 'móvil', 'psiquiátrica', 'intervencion', 'crisis', 'persona', 'líneas', 'directas', 'abuso', 'infantil', 'líneas', 'apollo', 'subvención', 'promesa', 'california', 'fafsa', 'programas', 'diploma', 'escuela', 'secundaria', 'adultos', 'alfabetización', 'adultos', 'bibliotecas', 'públicas', 'clases', 'informática']"
"Nombre del servicio: EDUCACIÓN Y DESARROLLO INDIOS YA-KA-AMA","https://www.211ca.org/search/?taxonomyCode=PL-7400.1500&location=sonoma+county+ca#googtrans(es)","['clic', 'aqui', 'imprimirlo', 'certificado', 'nacimiento', 'tarjeta', 'seguridad', 'social', 'identificación', 'estado', 'california', 'licencia', 'conducir', 'aquí', 'hogares', 'libres', 'alcohol', 'drogas', 'refugios', 'emergencia', 'personas', 'hogar', 'familias', 'hogar', 'vivienda', '(vivienda', 'temporal)', 'centros', 'personas', 'hogar', 'cal-fresh', '(estampillas', 'comida)', 'comestibles', 'programas', 'comida', 'caliente', 'información', 'ruta', 'autobús', 'servicios', 'autobuses', 'locales', 'programas', 'generales', 'comunitario', 'transporte', 'tren', 'medi-cal', 'covered', 'california', 'medi-cal', 'informacion', 'asistencia', 'asequible', 'seguro', 'medico', 'seguro', 'médico', 'estado', 'clínicas', 'médicas', 'líneas', 'información', 'médica', 'examen', 'tuberculosis', 'centros', 'integrales', 'asistencia', 'laboral', 'preparación', 'empleo', 'ayuda', 'encontrar', 'trabajo', 'presentar', 'queja.', 'calworks', 'general', 'relief', 'ssi', 'ssdi', 'calworks', 'alivio', 'general', 'ssi', 'ssdi', 'ayuda', 'legal', 'general', 'cumplimiento', 'manutención', 'cómo', 'cambiar', 'orden', 'manutención', 'hijos', 'grupos', 'apoyo', 'trastorno', 'consumo', 'alcohol', 'groupos', 'apoyo', 'trastorno', 'consumo', 'drogas', 'vivienda', 'libre', 'alcohol', 'drogas', 'servicios', 'generales', 'consejería', 'consejería', 'grupo', 'control', 'ira', 'consejería', 'trastornos', 'psiquiátricos', 'líneas', 'directas', 'salud', 'mental', 'líneas', 'directas', 'prevención', 'suicidio', 'equipos', 'respuesta', 'móvil', 'psiquiátrica', 'intervencion', 'crisis', 'persona', 'líneas', 'directas', 'abuso', 'infantil', 'líneas', 'apollo', 'subvención', 'promesa', 'california', 'fafsa', 'programas', 'diploma', 'escuela', 'secundaria', 'adultos', 'alfabetización', 'adultos', 'bibliotecas', 'públicas', 'clases', 'informática']"
"211 Sonoma 72 Hour Checklist","https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2019/07/72-Hour-Checklist-Sonoma.pdf","['Parole or Probation office', 'custody', 'court', 'supervision', 'Probation Department', 'Santa Rosa Regional Office', ' Adult Parole Operations']"
"Interface Children & Family Services | Tips for a Successful Reentry into the Community","https://secureservercdn.net/198.71.233.109/nvx.fe0.myftpupload.com/wp-content/uploads/2018/12/Tips-for-Reentry-Success-VC-12.11.pdf","['checklist', 'birth', 'certificate', 'social', 'security', 'card', 'identification', 'driver’s', 'license', 'emergency', 'shelters', 'homeless', 'individuals', 'families', 'transitional', 'housing', '(temporary', 'housing)', 'homeless', 'drop', 'in', 'centers', 'medi-cal', 'covered', 'california', 'file', 'complaint', 'calworks', 'ssi', 'how', 'change', 'child', 'support', 'order', 'california', 'promise', 'grant', 'program', 'fafsa']"
"Redwood Empire Food Bank","https://getfood.refb.org/","['food bank', 'get food', 'pantry', 'produce', 'groceries', 'senior basket', 'diabetes', 'hot meals', 'station 3990', 'calfresh', 'diapers', 'seniors', 'high risk population', 'disaster relief', 'agricultural labor relations board']"
"Finance & Housing Assistance during COVID-19","https://socoemergency.org/emergency/novel-coronavirus/resources-information/financial-assistance-for-residents/","['Finance & Housing Assistance', 'COVID-19', 'Testing & Quarantine Isolation', 'Financial Assistance for Households', 'Paying Utility Bills', 'Evictions', 'Renters & Homeowners', 'Employment Resources', 'Unemployment', 'Sick or Quarantined Workers', 'Currently Working', 'Student loans', 'General Tax Information', 'Community Funding', 'Financial Assistance Programs', 'Non-congregate and Alternative Care Sites', 'Non-Profit Resources']"
"Order of the Health Officer C19-03: Shelter in Place","https://socoemergency.org/order-of-the-health-officer-shelter-in-place/","['Shelter in Place', 'health officer', 'Sonoma County’s Health Orders']"
"Nuevo coronavirus","https://sonomacounty.ca.gov/Health/Information-About-Coronavirus/#googtrans(es)","['comida', 'sitios', 'almuerzo', 'escolar', 'recursos', 'asistencia', 'financiera', 'orden', 'refugio', 'lugar', 'condado', 'información', 'coronavirus', 'haga', 'clic', 'aquí', 'buscar', 'palabras', 'clave']"
"Nombre del servicio: EDUCACIÓN Y DESARROLLO INDIOS YA-KA-AMA","https://www.211ca.org/search/?taxonomyCode=HH-0500.2500-250&location=sonoma+county+ca#googtrans(es)","['ged', 'secundaria', 'ingles', 'como', 'segundo', 'lenguaje', 'alfabetización', 'adultos', 'educación', 'continua', 'programas', 'educación', 'migrantes', 'servicios', 'tutoría', 'abogacía', 'educación', 'especial', 'distritos', 'escolares', 'bibliotecas', 'públicas', 'clases', 'informática']"
"Buscar por categoría","http://www.211ca.org#googtrans(es)","['comida', 'sitios', 'almuerzo', 'escolar', 'recursos', 'asistencia', 'financiera', 'orden', 'refugio', 'lugar', 'condado', 'información', 'coronavirus', 'haga', 'clic', 'aquí', 'buscar', 'palabras', 'clave']"
"SCOE School Lunch Sites (COVID-19)","https://www.google.com/maps/d/u/0/viewer?mid=12sGarVKPhpZMJsoQNhED65mJilzG6245&ll=38.51774044915148%2C-122.9129044&z=10","['food', 'assistance', 'school', 'lunch', 'sites', 'financial', 'assistance', 'resources', 'shelter', 'place', 'order', 'coronavirus', 'information']"
